GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
true-crime-tracker,com.example.tracker.config,SecurityConfig,0,44,0,0,0,9,0,6,0,6
true-crime-tracker,com.example.tracker.dao,GroupDao,0,26,0,0,0,3,0,2,0,2
true-crime-tracker,com.example.tracker.dao,Mappers,8,51,3,3,1,19,4,2,1,2
true-crime-tracker,com.example.tracker.dao,ItemDao,0,33,0,0,0,1,0,1,0,1
true-crime-tracker,com.example.tracker,TrackerApplication,5,3,0,0,2,1,1,1,1,1
true-crime-tracker,com.example.tracker.services,GroupSpecifications,39,0,0,0,4,0,7,0,7,0
true-crime-tracker,com.example.tracker.services,AuthUtil,40,3,6,0,8,1,6,1,3,1
true-crime-tracker,com.example.tracker.services,GroupService,167,58,19,1,28,17,21,2,11,2
true-crime-tracker,com.example.tracker.services,ItemSpecifications,99,40,8,8,8,9,15,6,7,6
true-crime-tracker,com.example.tracker.services,ItemService,178,91,32,2,22,26,20,3,3,3
true-crime-tracker,com.example.tracker.models,CaseStatus,0,27,0,0,0,2,0,1,0,1
true-crime-tracker,com.example.tracker.models,GroupItems,9,0,0,0,4,0,1,0,1,0
true-crime-tracker,com.example.tracker.models,Role,0,15,0,0,0,3,0,1,0,1
true-crime-tracker,com.example.tracker.models,Visibility,0,15,0,0,0,2,0,1,0,1
true-crime-tracker,com.example.tracker.controllers,RestExceptionHandler,33,3,0,0,8,1,1,1,1,1
true-crime-tracker,com.example.tracker.controllers,GroupController,129,12,12,0,26,5,14,1,8,1
true-crime-tracker,com.example.tracker.controllers,ItemController,42,52,11,7,5,13,12,3,3,3
